macro-região,unidade,uo
Capital,14 Bis,49
Capital,24 De Maio,52
Capital,Av. Paulista,65
Capital,Belenzinho,68
Capital,Bom Retiro,94
Capital,Campo Limpo,91
Capital,Carmo,64
Capital,Casa Verde,60
Capital,Cinesesc,59
Capital,Consolação,62
Capital,CPF,89
Capital,Interlagos,55
Capital,Ipiranga,57
Capital,Itaquera,56
Capital,Pinheiros,58
Capital,Pompeia,63
Capital,Pq. Dom Pedro II,74
Capital,Santana,53
Capital,Santo Amaro,70
Capital,Sao Bento,61
Capital,Sesc Galeria,46
Capital,Vila Mariana,66
Grande S.Paulo,Guarulhos,73
Grande S.Paulo,Mogi Das Cruzes,72
Grande S.Paulo,Santo André,88
Grande S.Paulo,São Caetano,67
Grande S.Paulo,Sesc Marilia,69
Grande S.Paulo,Sesc Osasco,95
Interior e Litoral,Araraquara,86
Interior e Litoral,Bauru,80
Interior e Litoral,Bertioga,71
Interior e Litoral,Birigui,85
Interior e Litoral,Campinas,75
Interior e Litoral,Catanduva,79
Interior e Litoral,Franca,54
Interior e Litoral,Jundiaí,93
Interior e Litoral,Piracicaba,83
Interior e Litoral,Prudente,87
Interior e Litoral,Registro,92
Interior e Litoral,Ribeirão Preto,76
Interior e Litoral,Rio Preto,84
Interior e Litoral,S.J.Campos,77
Interior e Litoral,Santos,78
Interior e Litoral,São Carlos,82
Interior e Litoral,Sorocaba,96
Interior e Litoral,Taubaté,81
